time,height,angle_deg,dh,dtheta_rad_s
0.000000000000000000e+00,0.000000000000000000e+00,-9.000000000000000000e+01,-5.816747629647392407e-38,1.707361152545850150e-40
2.000000000000000042e-02,8.352389719038111394e-53,-9.000000000000000000e+01,4.946637657262314969e-01,-8.987833768949507127e-03
4.000000000000000083e-02,9.893275314524630284e-03,-9.001029929883851821e+01,8.633409839743478864e-01,-2.158602531989226372e-02
5.999999999999999778e-02,2.716009499401159100e-02,-9.003503506178435600e+01,1.106382288337716790e+00,-7.194843473537607115e-02
8.000000000000000167e-02,4.928774076076592597e-02,-9.011748189484255533e+01,1.226813891636014064e+00,-2.426657210711991586e-01
1.000000000000000056e-01,7.382401859348620976e-02,-9.039555632784012573e+01,1.248530812503233500e+00,-6.306799773869210535e-01
1.199999999999999956e-01,9.879463484355087421e-02,-9.111826234639364941e+01,1.254827407282398166e+00,-1.159230352055589996e+00
1.400000000000000133e-01,1.238911829891988503e-01,-9.244664247951865832e+01,1.258662230147561623e+00,-1.656159459834913861e+00
1.600000000000000033e-01,1.490644275921500783e-01,-9.434446142450279638e+01,1.260035434491638906e+00,-2.120813477185475193e+00
1.799999999999999933e-01,1.742651362819828686e-01,-9.677473465204664649e+01,1.258947075242803360e+00,-2.553210990267968494e+00
2.000000000000000111e-01,1.994440777868389247e-01,-9.970049893102208216e+01,1.255397108866685096e+00,-2.953369294982917115e+00
2.200000000000000011e-01,2.245520199641726222e-01,-1.030848108499430680e+02,1.249385393364629060e+00,-3.321304397662509622e+00
2.399999999999999911e-01,2.495397278314652190e-01,-1.068907453392291131e+02,1.240911688268015345e+00,-3.657031015710852984e+00
2.600000000000000089e-01,2.743579615968255170e-01,-1.110813941942025451e+02,1.229975654628639781e+00,-3.960562578192669214e+00
2.800000000000000266e-01,2.989574746893983170e-01,-1.156198645987603868e+02,1.216576855005156999e+00,-4.231911226370456802e+00
2.999999999999999889e-01,3.232890117895014792e-01,-1.204692776496615778e+02,1.200714753445581984e+00,-4.471087814190144449e+00
3.200000000000000067e-01,3.473033068584130967e-01,-1.255927668813709346e+02,1.182388715465852558e+00,-4.678101908715244228e+00
3.400000000000000244e-01,3.709510811677301789e-01,-1.309534767914005045e+02,1.161598008024449236e+00,-4.852961790509537465e+00
3.599999999999999867e-01,3.941830413282191858e-01,-1.365145613660894526e+02,1.138341799493074458e+00,-4.995674453968294237e+00
3.800000000000000044e-01,4.169498773180806972e-01,-1.422391826067635918e+02,1.112619159623386977e+00,-5.106245607598054903e+00
4.000000000000000222e-01,4.392022605105484478e-01,-1.480905090562152395e+02,1.084429059509792070e+00,-5.184679674244963898e+00
4.199999999999999845e-01,4.608908417007442915e-01,-1.540317143254452219e+02,1.053770371548285345e+00,-5.230979791271686885e+00
4.400000000000000022e-01,4.819662491317099895e-01,-1.600259756206070563e+02,1.020641869391347933e+00,-5.245147810682905920e+00
4.600000000000000200e-01,5.023790865195369992e-01,-1.660364722700953450e+02,9.850422278988938407e-01,-5.227184299199396200e+00
4.799999999999999822e-01,5.220799310775149360e-01,-1.720263842517188380e+02,9.469700230852632350e-01,-5.177088538280698593e+00
5.000000000000000000e-01,5.410193315392201052e-01,-1.779588907198995287e+02,9.064237320622636762e-01,-5.094858524096377295e+00
5.200000000000000178e-01,5.591478061804654454e-01,-1.837971685328390379e+02,8.634017329782541772e-01,-4.980490967445864392e+00
5.400000000000000355e-01,5.764158408400305023e-01,-1.895043907795925406e+02,8.179023049532714307e-01,-4.833981293626893105e+00
5.600000000000000533e-01,5.927738869390959398e-01,-1.950437253069927976e+02,7.699236280101944274e-01,-4.655323642252511718e+00
5.799999999999999600e-01,6.081723594992999304e-01,-2.003783332463635531e+02,7.194637830019453562e-01,-4.444510867016664868e+00
5.999999999999999778e-01,6.225616351593388220e-01,-2.054713675399652288e+02,6.665207515347241207e-01,-4.201534535408343096e+00
6.199999999999999956e-01,6.358920501900333644e-01,-2.102859714671123754e+02,6.110924158872718115e-01,-3.926384928374281991e+00
6.400000000000000133e-01,6.481138985077787851e-01,-2.147852771699048162e+02,5.531765589261624649e-01,-3.619051039930200275e+00
6.600000000000000311e-01,6.591774296863021076e-01,-2.189324041785134511e+02,4.927708640171178933e-01,-3.279520576720559966e+00
6.800000000000000488e-01,6.690328469666444455e-01,-2.226904579359614047e+02,4.298729149323415877e-01,-2.907779957526833048e+00
7.000000000000000666e-01,6.776303052652912218e-01,-2.260225283223417705e+02,3.644801957538701953e-01,-2.503814312724251590e+00
7.199999999999999734e-01,6.849199091803686024e-01,-2.288916881784127213e+02,2.965900907729365210e-01,-2.067607483687023961e+00
7.399999999999999911e-01,6.908517109958273172e-01,-2.312609918285113793e+02,2.261998843853413599e-01,-1.599142022141987862e+00
7.600000000000000089e-01,6.953757086835341550e-01,-2.330934736027263909e+02,1.533067609828292210e-01,-1.098399189470681936e+00
7.800000000000000266e-01,6.984418439031906400e-01,-2.343521463582715967e+02,7.790780484046400112e-02,-5.653589559597995695e-01
8.000000000000000444e-01,6.999999999999999556e-01,-2.350000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
